ID	sample	Breaking_force	Breaking_strain	Youngs_modulus_mN	Breaking_stress	Youngs_modulus_MPa	diameter	web_code	thread_code	web	thread
RR-12e	RR-12e	0.87	0.152	103.15	144.024601547414	17076.0202869147	2.774	R	R	Resting	Radius
RR-13a	RR-13a	1.803	0.288	29.782	636.571915268763	10514.9111372902	1.8995	R	R	Resting	Radius
RR-13b	RR-13b	0.883	0.198	3.487	311.75429904732	1231.12937800454	1.8995	R	R	Resting	Radius
RR-13c	RR-13c	1.433	0.186	11.32	505.938743527531	3996.66893002906	1.8995	R	R	Resting	Radius
RR-13d	RR-13d	2.493	0.212	94.969	880.185127434846	33530.0045597111	1.8995	R	R	Resting	Radius
RR-14a	RR-14a	1.607	0.18	46.121	140.250950102084	4025.21099543138	3.8205	R	R	Resting	Radius
RR-14b	RR-14b	3.137	0.31	40.268	273.781724001393	3514.39032900481	3.8205	R	R	Resting	Radius
RR-14c	RR-14c	0.913	0.263	6.144	79.6820892614829	536.217695972126	3.8205	R	R	Resting	Radius
RR-14d	RR-14d	0.863	0.294	70.316	75.3183384804597	6136.82999836849	3.8205	R	R	Resting	Radius
RR-14e	RR-14e	0.887	0.183	14.51	77.4129388553509	1266.36047665292	3.8205	R	R	Resting	Radius
RR-15a	RR-15a	0.343	0.127	26.06	70.6010229195288	5364.03107079569	2.48775	R	R	Resting	Radius
RR-15b	RR-15b	0.613	0.254	5.082	126.176172156476	1046.04780897098	2.48775	R	R	Resting	Radius
RR-15c	RR-15c	0.523	0.164	26.204	107.651122410827	5393.67115038872	2.48775	R	R	Resting	Radius
RR-15d	RR-15d	0.653	0.343	5.549	134.409527598986	1142.17223376229	2.48775	R	R	Resting	Radius
RF-1	RF-1	4.337	0.197	57.066	135.433447307387	1782.02561771809	6.387	R	F	Resting	Frame
RF-2	RF-2	1.613	0.278	5.821	164.245920329264	592.73124751187	3.537	R	F	Resting	Frame
RF-3	RF-3	2.247	0.222	161.92	76.0013259292115	5476.69545814772	6.137	R	F	Resting	Frame
RF-4	RF-4	22.33	0.235	304.51	198.366359090914	2705.0846398018	11.975	R	F	Resting	Frame
RF-5	RF-5	8.713	0.049	301.74	247.996654251037	8588.37489426236	6.69	R	F	Resting	Frame
RF-6	RF-6	22.447	0.239	418.73	172.743436752026	3222.38425050902	12.866	R	F	Resting	Frame
RF-7	RF-7	5.33	0.05	159.74	96.872188875402	2903.25768310632	8.372	R	F	Resting	Frame
RF-8	RF-8	6.19	0.339	100.56	531.708930881742	8637.90793044716	3.851	R	F	Resting	Frame
RF-9	RF-9	116.53	0.56	392.64	739.730651961475	2492.47269532441	14.166	R	F	Resting	Frame
RF-10	RF-10	7.157	0.225	78.05	118.945785761052	1297.15223957666	8.755	R	F	Resting	Frame
RF-11	RF-11	3.22	0.312	25.163	240.367543442777	1878.37530920826	4.131	R	F	Resting	Frame
RF-12	RF-12	7.993	0.281	116.37	319.756996332135	4655.33862919687	5.643	R	F	Resting	Frame
CR-1a	CR-1a	NA	NA	NA	NA	NA	7.2364	C	R	Cocoon	Radius
CR-1b	CR-1b	10.296	0.695	46.601	250.468864690124	1133.65380375141	7.2364	C	R	Cocoon	Radius
CR-1c	CR-1c	2.04	0.585	10.879	49.6266981320759	264.651396558262	7.2364	C	R	Cocoon	Radius
CR-1d	CR-1d	8.723	0.384	91.355	212.202788140244	2222.37598424304	7.2364	C	R	Cocoon	Radius
CR-1e	CR-1e	29.12	0.817	111.94	708.396789022574	2723.14342593362	7.2364	C	R	Cocoon	Radius
CR-1f	CR-1f	4.5	0.302	124.81	109.470657644285	3036.22950679627	7.2364	C	R	Cocoon	Radius
CR-1g	CR-1g	4.977	0.432	109.39	121.074547354579	2661.11005326852	7.2364	C	R	Cocoon	Radius
CR-1h	CR-1h	8.27	0.574	112.83	201.182741937386	2744.79428933438	7.2364	C	R	Cocoon	Radius
CR-1i	CR-1i	1.683	0.027	82.23	40.9420259589626	2000.39381735324	7.2364	C	R	Cocoon	Radius
CR-1j	CR-1j	2.373	0.421	34.5	57.727526797753	839.275041939519	7.2364	C	R	Cocoon	Radius
CR-1k	CR-1k	2.017	1.066	27.934	49.0671814374496	679.545189030102	7.2364	C	R	Cocoon	Radius
CR-1l	CR-1l	19.25	1.018	226.98	468.291146589442	5521.69997157774	7.2364	C	R	Cocoon	Radius
CR-1m	CR-1m	1.937	0.23	34.316	47.1210364126623	834.798908382509	7.2364	C	R	Cocoon	Radius
CR-1n	CR-1n	0.713	0.189	88.109	17.3450175334167	2143.41114986229	7.2364	C	R	Cocoon	Radius
CR-1o	CR-1o	2.32	0.276	13.773	56.4382057188314	335.053192829942	7.2364	C	R	Cocoon	Radius
CR-1p	CR-1p	2.947	0.524	12.739	71.6911173506018	309.899268384566	7.2364	C	R	Cocoon	Radius
CR-1q	CR-1q	12.025	0.494	93.006	292.52992403834	2262.53955219209	7.2364	C	R	Cocoon	Radius
CR-1r	CR-1r	9.623	0.711	101.69	234.096919669101	2473.79359463275	7.2364	C	R	Cocoon	Radius
CR-1s	CR-1s	NA	NA	NA	NA	NA	7.2364	C	R	Cocoon	Radius
CR-1t	CR-1t	6.277	0.27	61.697	152.699404007373	1500.89136992877	7.2364	C	R	Cocoon	Radius
CR-1u	CR-1u	5.083	0.274	88.029	123.653189512423	2141.46500483751	7.2364	C	R	Cocoon	Radius
CR-1v	CR-1v	2.76	0.15	54.278	67.1420033551615	1320.41074569256	7.2364	C	R	Cocoon	Radius
CR-1w	CR-1w	8.05	0.533	113.37	195.830843119221	2757.93076825169	7.2364	C	R	Cocoon	Radius
CR-1x	CR-1x	2.53	0.279	34.458	61.5468364088981	838.253315801506	7.2364	C	R	Cocoon	Radius
CR-1y	CR-1y	4.35	0.243	68.463	105.821635722809	1665.48658540015	7.2364	C	R	Cocoon	Radius
